"5,1,1,3,5,1,5",n,"25000,29000,29000,29000,29000,29000,29000","4,2,2,2,2,2"
"5,1,3,2,3,4,5","1,2,4,6,7,5,3","56581,36805,91573,37321,45147,34206,54376","7918,4917,6369,5381,5257,12514,4854",A2M5I4KGKF9J7Q,Desktop,39 - 45,Cable network,I find pauses in the video to be more annoying as it interrupts the feel that I am watching the event live.,"2,5,4,5,4,2,2"
"5,1,2,2,2,2,3","1,2,5,7,4,6,3","59884,35730,52477,38685,34846,32511,34009","12515,14800,14913,14996,16782,14147,10256",A2R75YFKVALBXE,Laptop,60 and above,WiFi,"Experiment guidelines are fine, and side-by-side helps a lot. No confusion about the grading. I find the stall more annoying than the blur unless the blur is VERY pronounced, in which case I find them both very annoying.","2,4,5,5,4,4,5"
"5,1,5,3,3,3,3","1,2,4,7,6,5,3","43818,36347,33116,39388,36363,35313,40410","14035,37070,5307,13727,6173,5410,6447",A253S5S5GWG94P,Desktop,18 - 24,Cable network,yes,"2,4,2,4,4,4,4"
"5,1,1,1,5,4,4","1,2,3,5,4,7,6","57624,43490,23639,49771,57421,39459,38289","40165,38946,19261,11045,18947,24492,18092",A3RV69VJV4ZTGB,Desktop,25 - 31,WiFi,side by side definitely help ,"2,4,4,4,2,4,4"
"5,1,5,3,3,2,4","1,2,4,5,3,6,7","62159,39696,48632,50091,77292,47097,81167","7893,9837,4986,17958,7515,23200,10903",A9BGDOTRHQ5E2,Laptop,25 - 31,WiFi,"The impairments affect different videos differently depending on when they happen. If there is an impairment at a crucial point, it is more annoying. The guideline's were clear, although it might help to have more information as to what should be considered bad, poor, fair etc. The side by side comparison is not essential, but good to have as a reference.","2,4,2,4,4,4,4"
"5,1,5,5,5,5,5","1,2,7,5,6,3,4","17834,10136,12715,17907,76493,31921,36637","5031,4499,5161,4325,3471,6690,3497",A2YUS3H6ZGQWE7,Desktop,18 - 24,Cable network,When the video hangs is the annoying thing. In general the experience is clear and easy to understand. I'm no confused in any parts. The side-by-side video is great because I can review when I want.,"2,5,4,4,2,4,2"
"5,1,4,3,3,3,3","1,2,6,7,4,3,5","86228,38956,35723,32804,39025,35688,48664","10484,17620,12224,31517,14555,10520,9164",A2SUBE14MAZ17P,Laptop,18 - 24,WiFi,"The impairments, unclear image, make us see less details. The grading was easy to understand, and the side by side help the grading","2,5,2,4,4,4,4"
"5,1,1,1,1,1,1","1,2,7,3,6,4,5","43355,38099,34329,37177,34869,82456,33916","20409,9862,16419,6779,5780,6550,8660",A226S9LUL53Q01,Laptop,25 - 31,WiFi,It was clear. But the impairments were all the same.,"2,4,4,4,4,4,4"
"5,1,3,3,2,3,3","1,2,5,7,6,3,4","59462,42054,41474,44113,59794,41308,47152","16101,22354,6510,6164,10395,11199,9548",A2QPMJ4GADLUW2,Smart phone,39 - 45,WiFi,"The stalls are annoying as they break up the flow of the action. I did not see blurs in any of my test videos. The grading is a bit confusing as it is subjective and I don;t know if there is a ""right"" answer. I did not need the side by side, and I would prefer it was not there so I could have all the space for the test video and to have it larger.","2,4,4,4,4,4,4"
"5,1,4,4,4,4,4","1,2,5,3,4,6,7","127735,63849,97013,58011,74909,88556,61225","8526,29534,5996,5424,9470,5902,7593",A1GV1WGA3W6CLG,Desktop,53 - 59,WiFi,I didn't notice any blurring at all. A single stall is not too bad but if it happens frequently it would be extremely annoying. Don't see the need for the side-by-side.,"2,4,4,4,4,4,4"
"5,1,3,2,4,3,5","1,2,5,3,6,7,4","52911,39795,35994,34618,34646,36662,37056","24932,24642,8251,7587,21195,6765,7931",A1AIVNFDDQYIFG,Laptop,18 - 24,WiFi,I think the side by side comparison is useful to make people perceive the differences and the most annoying aspect are the interruptions of the video,"2,4,4,5,5,5,2"
"5,1,5,4,5,5,5","1,2,3,6,4,5,7","48008,39942,61935,60253,36957,59007,34564","9604,27222,6741,12141,9890,8684,8167",APC7FSVEKRIGT,Laptop,32 - 38,WiFi,"the impairments of ""stall"" in annoying only when the action is near the goalkeeper","2,4,4,4,4,4,2"
"5,1,1,5,1,1,1","1,2,5,4,3,7,6","21071,14018,11682,22562,25854,21653,22311","4389,6454,3827,3760,3205,3413,4098",A182N7RLXGSCZG,Desktop,25 - 31,WiFi,"survey is clear to me. If a videos stop mid ways, people might get annoyed. Side by side comparison does help me grade.","2,4,4,2,4,4,4"
"5,1,5,5,5,5,5","1,2,5,3,4,6,7","94237,83013,64107,61525,90883,63674,72472","11135,23084,10775,10496,12355,11400,12290",A96HQDKRSAZZT,Laptop,18 - 24,WiFi,yes,"2,5,2,2,2,2,2"
"5,1,3,3,3,2,3","1,2,6,4,7,5,3","72712,39995,62470,64137,39368,39116,38818","84013,20963,10555,9352,8815,13460,8929",A187QIQEL3S4HP,Laptop,25 - 31,WiFi,The impairments affected just a little bit my experience. The stalls were more annoying and the guidelines were clear. The side-by-side comparison helps a lot.,"2,5,4,4,4,4,4"
"5,1,3,2,3,2,3","1,2,7,3,6,4,5","60376,44515,42339,69494,41413,40024,44287","47832,6292,6961,5721,5829,6794,8606",AHKOW1B4BF0F2,Laptop,18 - 24,WiFi,The impairments are more annoying if they appear in the middle of the video. The guideline was clear. The side-by-side comparison was very helpful,"2,4,4,4,4,4,4"
