"5,1,1,3,5,1,5",n,"29000,29000,29000,29000,29000,25000,29000","4,2,2,2,2,2"
"5,1,1,1,1,1,1","1,2,5,6,4,7,3","45306,23061,16278,17223,17203,19317,17619","9311,4950,5290,4645,5228,5633,4842",A3ODGLELT1TPX,Desktop,25 - 31,Cable network,play ground in player was video difrent,"2,2,2,2,2,2,2"
"5,1,2,3,3,3,2","1,2,4,5,3,7,6","65073,40464,44196,50889,42819,46284,71207","29436,18975,11645,21724,8316,9252,9994",A3QIG18VHBXBSZ,Desktop,60 and above,WiFi,The stalls were annoying particularly during or preceding a score. Did not notice any blurring of any of the test samples. I didn't really need to look at the reference again. ,"2,4,4,4,4,4,4"
"5,1,3,5,3,3,4","1,2,5,3,6,7,4","58205,49425,45835,55412,370252,46436,46241","20556,12490,8825,4258,7696,4328,5892",AKX5RHHO8BIUX,Laptop,53 - 59,WiFi,"A freeze early in a video is most annoying to me - I'm waiting for something to happen and assume I have some sort of problem. Next most annoying is right at the end, which gives me a false assumption that the video is over.  I really didn't need to look at the reference again, and didn't use it.  Otherwise it's all clear.","2,4,4,2,4,4,4"
"5,1,1,1,1,1,1","1,2,5,6,4,7,3","207248,86744,64875,64682,136235,73715,61458","7762,32067,3940,4549,15351,7947,4935",AQ53YJDPDDLZ,Laptop,39 - 45,WiFi,The pauses right before a kick is annoying because we don't know if they scored or not. I don't need to see the reference again. ,"2,4,5,5,4,4,4"
"5,1,5,5,5,5,5","1,2,3,7,6,5,4","205279,132865,1253203,80457,62849,52091,38325","5796,7796,5767,5659,7360,8072,5741",A3YP2RNFZ1PQP,Laptop,18 - 24,Cable network,hd,"2,2,2,2,2,2,2"
"5,1,5,5,5,2,2","1,2,6,7,5,4,3","153107,41756,38557,36046,36602,36721,35851","20666,8508,5195,4921,5387,6638,4812",A2SKH7WZUEDGGI,Desktop,39 - 45,Cable network,GOOD,"5,5,5,5,5,5,5"
"5,1,5,5,5,5,5","1,2,5,4,7,6,3","61151,60642,0,52807,53052,0,52916","7390,9980,87906,5482,5811,70829,7240",A3RSXV4XDDHHS1,Laptop,25 - 31,Cable network,Thank you,"2,2,2,2,2,2,2"
"5,1,2,3,1,4,1","1,2,7,4,5,6,3","83276,39365,111565,59159,37602,69716,40790","24179,27220,22690,9140,8214,12026,11147",A26L91YL0GDGD8,Desktop,53 - 59,Cable network,"I think the instructions were rather unclear, as well as the grading.  The biggest issue I had was the timer being so short, you're not likely to get good results if we have to worry about the hit expiring.","2,4,4,4,5,2,4"
"5,1,1,1,1,1,1","1,2,3,6,5,7,4","16196,14310,7763,8343,7692,8432,8528","21946,4582,5218,5688,6494,5171,5133",A2G92T4A1U377C,Laptop,25 - 31,Cable network,GOOD WORK,"2,2,2,2,2,2,2"
"5,1,1,1,1,1,1","1,2,5,3,4,6,7","72433,50811,48050,45759,47138,49233,48237","6473,12335,9336,7847,6780,9327,8108",A1L8RL58MYU4NC,Laptop,25 - 31,WiFi,Nothing annoyed me. Guideline is superb. I didn't get confused in grading. Side-by-side made it easy but without that too one can grade it,"2,4,4,4,4,4,4"
