"5,1,1,3,5,1,5",n,"29000,29000,29000,29000,29000,25000,29000","4,2,2,2,2,2"
"5,1,5,5,5,5,5","1,2,7,4,6,3,5","79531,69048,62910,45099,40380,50154,41581","20658,12235,5309,12338,6245,6542,6247",A2K4OJDQPXIU5T,Desktop,25 - 31,Cable network,na,"5,5,5,5,5,5,5"
"5,1,5,1,1,1,1","1,2,4,5,7,3,6","72662,36232,33891,36169,36724,47131,32095","51312,11140,3509,3132,2786,4568,3052",A2YO837C0O1E91,Desktop,25 - 31,WiFi,"Impairments within the first 5 seconds are more likely to ruin my enjoyment for the whole video. The guideline for grading is a little confusing because aside from rating a video ""bad"" due to impairments, it's tricky to know what separates a ""good"" video from a ""perfect"" one. I found that the side-by-side comparison helped a little bit, but I think i'd also do alright without it.","2,4,2,4,4,4,4"
"5,1,2,2,2,2,2","1,2,7,3,5,6,4","159877,111165,89349,76193,129819,81630,82748","40781,42877,17126,10123,9421,10060,13544",A1UM7U8DA3RMA9,Laptop,32 - 38,WiFi,"The new inclusion of pop up after loading full video helped, Because last time I didint able to find the stall is because of  slow network or its video stall issue, Also stall will make this type of sports video irritating","2,4,4,4,4,4,4"
"5,1,1,2,5,2,1","1,2,5,3,7,4,6","77459,50916,54311,50153,48330,48432,53750","24596,26955,9277,6052,12212,7392,8443",A2341KCW7BI2NS,Desktop,39 - 45,WiFi,"the guidlines for this task are very clear,yes side by side comparison help me grading the video,its make easier for me,in some videos there are pauses that make me annoying.thanks","2,4,4,4,2,4,4"
"5,1,4,4,3,4,4","1,2,4,5,7,3,6","4746376,48113,45232,52923,46951,53143,41749","13337,11217,4866,6505,4413,4883,5186",A3J08ETUZNPUF3,Laptop,25 - 31,Cable network,none,"2,5,2,2,2,2,2"
"5,1,3,2,2,1,3","1,2,7,6,4,3,5","59804,70316,34779,33961,33376,61760,92528","22082,21358,6457,20802,6680,16427,15245",A4E1UYPDHE8D8,Desktop,39 - 45,Cable network,It's much more annoying when the video got stuck at crucial moment like when a player is taking an important corner kick that could lead to a goal. The duration of the time stuck is also important. The longer it is the more annoying it got. I have no other comments on the instructions or the experiment itself. The side-by-side comparison was useful but I only used it one time to refresh my memory.,"2,4,4,4,4,4,4"
"5,1,1,1,1,1,1","1,2,4,3,6,5,7","18864,12715,13798,17580,10571,20437,20700","5793,11019,5356,5236,6847,6488,7171",A2G92T4A1U377C,Desktop,25 - 31,Cable network,GOOD WORK,"2,2,2,2,2,2,2"
"5,1,3,3,4,4,3","1,2,7,6,5,4,3","49612,33726,31494,59960,58342,58580,58982","14645,9728,6452,7083,9846,10735,17915",A2F0X4LN9N4O4C,Desktop,53 - 59,WiFi,The impairments affect me watching every single detail of the video.  It is more annoying for the video to stall than to be blurry.  The experiment guideline is clear.  I am not confused by the grading.  I don't need the side by side video.,"2,4,5,5,4,4,4"
"5,1,4,4,3,4,3","1,2,4,6,5,7,3","59777,34292,21367,42878,36751,24004,23671","8353,13209,6858,6171,6153,7305,6815",A2IJ3DHPY8RP0A,Laptop,25 - 31,Cable network,good,"4,4,4,4,4,4,4"
"5,1,1,1,1,1,1","1,2,4,7,6,3,5","69220,74383,48783,47296,98559,45954,47761","6928,8031,7904,8998,8009,9935,12822",A1L8RL58MYU4NC,Laptop,25 - 31,WiFi,Nothing annoyed me. Guideline is superb. I didn't get confused in grading. Side-by-side made it easy but without that too one can grade it,"2,4,4,4,4,4,4"
